date,expiry,symbol,contractSymbol,type,inTheMoney,strike,bid,ask,last,underlying,iv_mkt,rate,div_yield,volume,openInterest,lastTradeDate,quote_age_hours,mid,T
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00310000,call,True,310.0,316.2,318.3,299.3,625.52001953125,3.047853942871094,0.036061884782436326,0.011248241111887375,3.0,3,2025-11-21 19:46:21+00:00,265.2275,317.25,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00320000,call,True,320.0,306.2,308.3,292.1,625.52001953125,2.9218776953125003,0.036061884782436326,0.011248241111887375,,3,2025-11-19 15:43:08+00:00,317.2811111111111,307.25,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00330000,call,True,330.0,296.2,298.3,277.1,625.52001953125,2.800784248046875,0.036061884782436326,0.011248241111887375,,12,2025-11-20 18:18:14+00:00,290.6961111111111,297.25,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00340000,call,True,340.0,286.2,288.3,268.5,625.52001953125,2.6816439208984377,0.036061884782436326,0.011248241111887375,4.0,6,2025-11-21 19:54:06+00:00,265.09833333333336,287.25,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00370000,call,True,370.0,256.2,258.3,249.6,625.52001953125,2.345707260742187,0.036061884782436326,0.011248241111887375,,1,2025-11-20 15:14:20+00:00,293.7611111111111,257.25,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00380000,call,True,380.0,246.3,248.3,230.07,625.52001953125,2.2626996557617183,0.036061884782436326,0.011248241111887375,1.0,2,2025-11-21 18:48:32+00:00,266.1911111111111,247.3,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00440000,call,True,440.0,186.3,188.4,169.6,625.52001953125,1.6826187744140624,0.036061884782436326,0.011248241111887375,,7,2025-11-19 16:12:16+00:00,316.79555555555555,187.35000000000002,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00460000,call,True,460.0,166.3,168.4,152.7,625.52001953125,1.4975611059570313,0.036061884782436326,0.011248241111887375,,2,2025-11-19 15:42:30+00:00,317.2916666666667,167.35000000000002,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00480000,call,True,480.0,146.3,148.4,134.4,625.52001953125,1.3183627832031248,0.036061884782436326,0.011248241111887375,3.0,9,2025-11-25 14:43:37+00:00,174.27305555555554,147.35000000000002,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00490000,call,True,490.0,136.3,138.4,124.5,625.52001953125,1.23047259765625,0.036061884782436326,0.011248241111887375,16.0,50,2025-11-25 14:43:28+00:00,174.27555555555554,137.35000000000002,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00500000,call,True,500.0,126.4,128.4,114.2,625.52001953125,1.15625421875,0.036061884782436326,0.011248241111887375,8.0,24,2025-11-25 14:45:01+00:00,174.24972222222223,127.4,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00505000,call,True,505.0,121.3,123.9,109.5,625.52001953125,1.1572307763671876,0.036061884782436326,0.011248241111887375,11.0,23,2025-11-25 14:43:37+00:00,174.27305555555554,122.6,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00507500,call,True,507.5,118.8,120.9,107.0,625.52001953125,1.0795944458007813,0.036061884782436326,0.011248241111887375,4.0,4,2025-11-25 14:43:37+00:00,174.27305555555554,119.85,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00510000,call,True,510.0,116.3,118.4,104.5,625.52001953125,1.0581101782226563,0.036061884782436326,0.011248241111887375,1.0,1,2025-11-25 14:43:28+00:00,174.27555555555554,117.35,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00515000,call,True,515.0,111.3,113.4,97.5,625.52001953125,1.015629921875,0.036061884782436326,0.011248241111887375,,4,2025-11-17 19:39:30+00:00,361.34166666666664,112.35,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00520000,call,True,520.0,106.3,108.4,87.2,625.52001953125,0.9733889379882812,0.036061884782436326,0.011248241111887375,2.0,2,2025-11-21 20:55:04+00:00,264.08222222222224,107.35,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00525000,call,True,525.0,101.3,103.4,93.0,625.52001953125,0.9311530322265625,0.036061884782436326,0.011248241111887375,,1,2025-11-17 15:40:27+00:00,365.3258333333333,102.35,0.005479452054794521
2025-12-02 21:00:00+00:00,2025-12-05 00:00:00+00:00,VOO,VOO251205C00527500,call,True,527.5,98.8,100.9,86.6,625.52001953125,0.9101571484375,0.036061884782436326,0.011248241111887375,1.0,1,2025-11-25 14:45:13+00:00,174.2463888888889,99.85,0.005479452054794521
